keyword_1,month_1,searches_1,keyword categorized_1,keyword_2,month_2,searches_2,keyword categorized_2
liên minh công lý: phiên bản của zack snyder,6,10807,Hollywood Movie,liên minh công lý: phiên bản của zack snyder,7,10895,Hollywood Movie
fairy tail,6,7115,Anime,kẻ trộm mặt trăng: minions,7,6481,Khác
thiên nga bóng đêm,6,6479,K-Drama,fairy tail,7,6044,Anime
sao băng,6,6309,Lãng mạn / Giả tưởng,running man,7,5310,TV Show
running man,6,5469,TV Show,thiên nga bóng đêm,7,5046,K-Drama
bắt ma phá án,6,5425,Horror,con tim sắt đá,7,4871,Khác
nữ thanh tra tài ba,6,5423,Khác,thanh thanh tử khâm,7,4692,Khác
naruto,6,4881,Anime,chàng hậu,7,4681,Khác
siêu nhân,6,4701,Khác,siêu nhân,7,4314,Khác
yêu nhầm chị dâu,6,4089,Khác,yêu tinh,7,4112,Khác
mộng hoa lục,6,4052,Khác,vẻ đẹp đích thực,7,3914,Khác
boruto,6,3600,Anime,hội pháp sư,7,3840,Khác
vô tình nhặt được tổng tài,6,3297,Khác,sao băng,7,3648,Lãng mạn / Giả tưởng
hội pháp sư,6,3290,Khác,naruto,7,3628,Anime
tôi thấy hoa vàng trên cỏ xanh,6,3158,Khác,thử thách thần tượng,7,3498,Khác
cuộc chiến thượng lưu,6,3152,Khác,tôi thấy hoa vàng trên cỏ xanh,7,3383,Khác
cô nàng trong trắng oh woo ri,6,3072,K-Drama,u19,7,3259,Khác
why her?,6,3059,K-Drama,conan,7,3147,Anime (Trẻ em)
cảnh đẹp ngày vui biết bao giờ,6,2909,Khác,doraemon,7,3100,Anime (Trẻ em)
lấy danh nghĩa người nhà,6,2869,Khác,nhất kiến khuynh tâm,7,3095,Khác
vẻ đẹp đích thực,6,2866,Khác,tìm kiếm bằng giọng nói,7,2902,Khác
chàng hậu,6,2840,Khác,lưu ly mỹ nhân sát,7,2725,Khác
eve,6,2792,Âm nhạc,anna,7,2649,Khác
bạn trai tôi là hồ ly,6,2772,Khác,cuộc chiến thượng lưu,7,2618,Khác
yêu trong đau thương,6,2605,Khác,vô tình nhặt được tổng tài,7,2612,Khác
doraemon,6,2539,Anime (Trẻ em),prime provider,7,2578,Âm nhạc
thử thách thần tượng,6,2531,Khác,minh châu rực rỡ,7,2546,Khác
lưu ly mỹ nhân sát,6,2442,Khác,lưỡi gươm diệt quỷ,7,2458,Khác
prime provider,6,2438,Âm nhạc,eve,7,2383,Âm nhạc
bolero,6,2396,Âm nhạc,penthouse 2,7,2321,Khác
jujutsu kaisen,6,2352,Anime,hậu duệ mặt trời,7,2296,Khác
conan,6,2285,Anime (Trẻ em),bolero,7,2246,Âm nhạc
penthouse 2,6,2257,Khác,sakura - thủ lĩnh thẻ bài,7,2194,Khác
giữa thanh xuân,6,2187,Khác,boruto,7,2162,Anime
tìm kiếm bằng giọng nói,6,2154,Khác,trữ tình,7,2059,Khác
yêu tinh,6,2145,Khác,bạn trai tôi là hồ ly,7,1981,Khác
lưỡi gươm diệt quỷ,6,2142,Khác,one punch man,7,1972,Horror
shooting stars,6,2067,Khác,jujutsu kaisen,7,1934,Anime
trữ tình,6,2020,Khác,mối tình đầu của tôi,7,1917,Khác
hậu duệ mặt trời,6,1991,Khác,tại sao lại là oh soo jae?,7,1894,Khác
cuộc sống thượng lưu,6,1983,Khác,bắt ma phá án,7,1893,Horror
true beauty,6,1968,Khác,yêu nhầm chị dâu,7,1893,Khác
em là thành trì doanh lũy của anh,6,1949,Khác,yêu thầm anh xã,7,1889,Khác
hoa của quỷ,6,1919,Khác,true beauty,7,1835,Khác
vườn sao băng,6,1889,Lãng mạn / Giả tưởng,one piece,7,1827,Khác
thanh gươm diệt quỷ: phần kỹ viện trấn,6,1874,Khác,mặt trăng ôm mặt trời,7,1790,Khác
thiếu nhi,6,1834,Khác,dr. stone,7,1685,Khác
kimetsu no yaiba,6,1823,Khác,vườn sao băng,7,1666,Lãng mạn / Giả tưởng
sakura - thủ lĩnh thẻ bài,6,1718,Khác,kimetsu no yaiba,7,1656,Khác
one piece,6,1697,Khác,penthouse 3,7,1644,Khác
người thầy y đức,6,1692,Khác,thanh gươm diệt quỷ: phần kỹ viện trấn,7,1640,Khác
penthouse 3,6,1668,Khác,tinh hà xán lạn,7,1630,Khác
cô nàng đầu bếp của tôi,6,1626,Khác,lấy danh nghĩa người nhà,7,1621,Khác
tại sao lại là oh soo jae?,6,1605,Khác,thử thách thần tượng - running man,7,1584,TV Show
người nhện: không còn nhà,6,1570,Khác,thiếu nhi,7,1579,Khác
tái sinh báo thù,6,1563,Khác,hương mật tựa khói sương,7,1558,Khác
hương mật tựa khói sương,6,1536,Khác,why her?,7,1530,K-Drama
con tim sắt đá,6,1534,Khác,anime,7,1481,Anime
nhất kiến khuynh tâm,6,1527,Khác,cô vợ bắt buộc,7,1453,Khác
chú thuật hồi chiến,6,1515,Khác,thư ký kim sao thế?,7,1453,Khác
one punch man,6,1496,Horror,thế giới khủng long,7,1430,Khác
dr. stone,6,1494,Khác,định mệnh anh yêu em,7,1419,Khác
thương ngày nắng về,6,1472,Khác,thử thách thần chết: giữa hai thế giới,7,1418,Khác
yêu em từ cái nhìn đầu tiên,6,1458,Khác,hoa của quỷ,7,1415,Khác
kết hôn rồi bắt đầu yêu,6,1455,Khác,bằng chứng thép,7,1407,Khác
nhất dạ tân nương,6,1431,Khác,u19 việt nam - u19 brunei | xem lại trận đấu - u19 đông nam á,7,1393,Khác
anime,6,1423,Anime,cá mực hầm mật,7,1392,Khác
black clover,6,1349,Khác,pháp y tần minh: người đọc tâm,7,1326,Khác
mị nguyệt truyện,6,1343,Khác,chú thuật hồi chiến,7,1301,Khác
cá mực hầm mật,6,1313,Khác,kẻ cắp mặt trăng,7,1297,Khác
pháp y tần minh: người đọc tâm,6,1303,Khác,overlord ii,7,1275,Khác
mouse,6,1298,Khác,attack on titan (season 4),7,1269,Khác
hậu cung như ý truyện,6,1288,Khác,người thầy y đức,7,1262,Khác
attack on titan (season 4),6,1273,Khác,bất động sản trừ tà,7,1247,Khác
hoa du ký,6,1265,Khác,kết hôn rồi bắt đầu yêu,7,1223,Khác
em đẹp nhất là khi mỉm cười,6,1262,Khác,minion,7,1211,Khác
bleach,6,1252,Khác,em đẹp nhất là khi mỉm cười,7,1192,Khác
hẹn hò chốn công sở,6,1222,Khác,em là thành trì doanh lũy của anh,7,1164,Khác
kẻ quyến rũ đại tài,6,1187,Khác,gửi thời thanh xuân ngây thơ tươi đẹp,7,1124,Khác
thế giới động vật,6,1184,Khác,nỗi vương vấn của hạ tiên sinh,7,1118,Khác
why her,6,1148,K-Drama,kênh vtv1,7,1116,Khác
thanh gươm diệt quỷ: chuyến tàu vô tận,6,1143,Khác,black clover,7,1112,Khác
kênh vtv6,6,1128,Khác,học viện anh hùng (phần 2),7,1111,Khác
thiên nga đen,6,1124,Khác,thanh xuân vật vã,7,1101,Khác
minh lan truyện,6,1096,Khác,u19 việt nam - u19 malaysia | xem lại trận đấu - u19 đông nam á,7,1094,Horror
minh châu rực rỡ,6,1093,Khác,võ tắc thiên,7,1088,Khác
vân tịch truyện,6,1080,Khác,cổ tay áo màu đỏ,7,1082,Khác
thanh xuân vật vã,6,1079,Khác,thế giới động vật,7,1075,Khác
penthouse,6,1072,Khác,bằng chứng thép 3,7,1075,Khác
baki,6,1063,Khác,bác sĩ ma,7,1067,Horror
thư ký kim sao thế?,6,1052,Khác,mộng hoa lục,7,1063,Khác
bằng chứng thép,6,1050,Khác,hạnh phúc đến vạn gia,7,1063,Khác
keep running,6,1047,Khác,hẹn hò chốn công sở,7,1049,Khác
mặt nạ thủy tinh,6,1042,Khác,minh lan truyện,7,1036,Khác
nỗi vương vấn của hạ tiên sinh,6,1042,Khác,thương ngày nắng về,7,1035,Khác
"taxi, em tên gì?",6,1036,Khác,yêu em từ cái nhìn đầu tiên,7,1026,Khác
công chúa aurora,6,1029,Khác,ngôi sao khoai tây,7,1024,Khác
đại chiến titan,6,1015,Khác,tư đằng,7,1015,Khác
harry potter,6,1010,Khác,,,,
